@relation gcse


@attribute firstname STRING
@attribute lastname STRING
@attribute gender STRING
@attribute dob STRING
@attribute auth STRING
@attribute subject1 STRING
@attribute grade1 STRING
@attribute subject2 STRING
@attribute grade2 STRING
@attribute subject3 STRING
@attribute grade3 STRING
@attribute subject4 STRING
@attribute grade4 STRING
@attribute subject5 STRING
@attribute grade5 STRING

@data
CHARLOTTE, Wright, f, 1977/3/6, Bath/Avon, 'English Literature', A, Maths, U, 'English Language', N, Geography, U, History, 1
LEIGH, Roberts, mf, 1977/5/31, Herts, 'English Language', E, 'Double Science', B, 'English Literature', C, Geography, E, Maths, B
MICHAEL, Clark, m, 1977/4/4, Wolverhampton, 'English Literature', U, Maths, F, 'Double Science', C, Geology, G, History, A*
LUKE, White, m, 1978/11/25, Bath/Avon, Maths, D, 'English Language', A*, 'Double Science', G, Geography, C, 'English Literature', E
TAYLOR, Clark, m, 1979/8/13, Bath/Avon, Maths, A, History, , 'English Literature', F, 'English Language', C, 'Double Science', 4
JADE, Green, mf, 1977/Jul/20, Wolverhampton, 'English Literature', F, 'English Literature', A*, Maths, E, History, B, 'Double Science', B
ALEXANDRA, Roberts, f, 1979/5/6, Bath/Avon, 'English Language', K, 'English Literature', G, Geology, A*, 'English Literature', U, Maths, B
MORGAN, Wilson, m, 1979/12/29, Herts, 'English Language', E, 'Double Science', B, , U, Geography, E, Maths, A
JORDAN, Jackson, f, 1978/7/17, Wolverhampton, 'English Literature', A*, 'English Literature', G, 'Double Science', G, Maths, K, 'English Language', U
KELLY, Green, m, 1977/6/13, Wolverhampton, Geography, U, 'English Literature', D, Maths, A*, 'Double Science', G, History, F
THOMAS, Smith, m, 1978/5/13, Herts, , F, 'English Language', D, 'Double Science', A*, 'Double Science', G, Geology, F
LUKE, Green, m, 1977/10/2, Wolverhampton, 'English Literature', U, 'English Language', B, Geography, G, Maths, E, 'Double Science', G
VICTORIA, Evans, f, 1979/2/14, Herts, , F, History, U, 'English Literature', A, 'Double Science', U, Geography, U
BENJAMIN, Clark, m, 1978/3/18, Herts, Geography, A, 'Double Science', D, , E, 'English Language', B, Maths, F
CHARLES, Taylor, m, 1978/6/2, Wolverhampton, , A*, 'Double Science', G, 'English Literature', C, Maths, A, History, 
KELLY, Clark, m, 1978/8/24, Herts, 'English Language', A*, Maths, C, Geology, A*, 'Double Science', A, 'English Literature', U
SHANNON, Clark, f, 1979/4/25, Herts, History, A+, Maths, D, 'Double Science', U, 'English Language', F, 'English Literature', A
MARK, Wood, m, 1978/3/23, Wolverhampton, History, F, 'Double Science', F, Maths, B, 'English Literature', A, Geography, U
GEORGINA, Williams, f, 1978/9/19, Bath/Avon, Maths, D, 'Double Science', B, 'English Literature', A*, 'English Language', G, History, U
BENJAMIN, Williams, m, 1978/1/31, Herts, 'English Language', U, Geography, U, Maths, D, 'Double Science', A*, 'English Literature', D
LUKE, Wright, m, 1979/4/9, Herts, History, A, 'English Language', A*, 'English Literature', D, Geography, U, 'Double Science', F
BETHANY, Wilson, f, 1978/1/6, Wolverhampton, 'Double Science', D, 'English Language', E, Maths, 4, History, B, 'English Literature', K
LEWIS, , m, 1977/3/13, Bath/Avon, Geology, F, , U, 'English Literature', C, Maths, D, 'English Language', C
JORDAN, Green, m, 1978/11/4, Wolverhampton, History, E, 'English Language', G, Geography, D, 'English Literature', D, Maths, 1
GEORGIA, Smith, f, 1977/5/26, Bath/Avon, 'Double Science', C, 'English Literature', U, History, , Maths, U, Geography, A
NATHAN, Clark, m, 1979/7/10, Herts, Geography, G, 'Double Science', A, History, D, 'English Language', G, Maths, A
DAVID, Davies, m, 1977/5/1, Bath/Avon, 'English Language', E, , E, History, D, Geography, D, 'Double Science', E
CHARLOTTE, Clark, f, 1978/8/31, Herts, History, D, 'English Language', U, Maths, G, Geography, A*, 'English Literature', B
DANIEL, Jones, m, 1978/2/14, Wolverhampton, 'English Language', D, Geography, B, Maths, A*, 'English Literature', A*, 'Double Science', C
, Wood, f, 1979/2/4, Herts, Maths, F, 'Double Science', A, 'English Literature', D, History, C, Geography, F
CHARLES, White, m, 1977/11/13, Herts, 'Double Science', E, Maths, D, Geography, G, 'English Language', B, History, A*
, Wright, f, 1978/1/25, Wolverhampton, History, B, Geography, F, 'English Literature', C, 'Double Science', D, Geology, A
AMY, Jackson, f, 1977/3/3, Herts, Geology, F, 'Double Science', D, 'English Language', U, History, E, 'English Literature', A*
HOLLY, Thompson, f, 1979/11/9, Wolverhampton, History, F, 'English Literature', U, Geography, A*, 'Double Science', U, Maths, D
MELISSA, Green, x, 1978/4/9, Herts, 'English Literature', F, 'Double Science', F, History, D, Maths, D, Geography, F
MORGAN, Roberts, m, 1978/9/17, Bath/Avon, 'Double Science', U, 'English Literature', A+, History, F, 'English Language', 7, Geography, D
RYAN, Jackson, m, 1977/11/15, Herts, Geography, G, 'English Literature', B, 'Double Science', E, 'English Language', G, Maths, K
